"","gene_name","logfc","qval","pval","race","exp"
"204","SERPINA1",3.83050103289289,0.0122619872553026,6.32822367112595e-05,"white","up"
"205","MT1X",1.94746741816965,0.012737117333833,6.67720629394797e-05,"white","up"
"206","CCL14",1.05155949118212,0.012754713556535,6.7696643778703e-05,"white","up"
"207","IGKV3-15",2.49062453659843,0.0127773545044733,6.82374256650853e-05,"white","up"
"208","IGKV3-15",2.49063931256919,0.0127773545044733,6.83726878991653e-05,"white","up"
"209","VNN1",2.51643048866686,0.0131153373733959,7.12268240005143e-05,"white","up"
"210","HSD11B1",2.06569370631122,0.0132949940957518,7.28778063197044e-05,"white","up"
"211","FGL2",1.2204066864952,0.0133730100851074,7.35963532483286e-05,"white","up"
"212","FNDC4",1.72444967825193,0.0134251050145249,7.4175077736216e-05,"white","up"
"213","GPR183",1.23478198158337,0.0134568631963507,7.49359822993512e-05,"white","up"
"214","RGS1",1.48545101659363,0.0134568631963507,7.48904450145194e-05,"white","up"
"215","CD69",1.10549777458922,0.0143546396403267,8.11843362586995e-05,"white","up"
"216","CYP2A7",1.47720480847154,0.0143546396403267,8.1131100085452e-05,"white","up"
"217","CFTR",1.0715050737434,0.0149725669517354,8.5330473796108e-05,"white","up"
"218","LOC107985919",2.7897952273491,0.015284157087298,8.81036637112587e-05,"white","up"
"219","IGKV1D-17",1.19326304485233,0.0157421177446168,9.2973694603482e-05,"white","up"
"220","MIR650",1.65010267117514,0.0157421177446168,9.31405208939307e-05,"white","up"
"221","CD163",1.24313886980844,0.0160277251075951,9.56078034644037e-05,"white","up"
"222","C8orf4",2.15528478785872,0.0160277251075951,9.58762813144665e-05,"white","up"
"223","C1QC",1.90503442485594,0.0163149537010214,9.7949343545678e-05,"white","up"
"224","IGKV4-1",3.06371690941245,0.0166698321453895,0.000102022000792901,"white","up"
"225","HCLS1",1.12864835485639,0.0166760637207866,0.000103019274704241,"white","up"
"226","IGLL5",2.62076208166867,0.0181846521213682,0.000113921078285784,"white","up"
"227","AGTR1",1.56555238149984,0.0183589330166859,0.000116592655447501,"white","up"
"228","MT2A",2.70106492869257,0.0184865218702151,0.000117822824936331,"white","up"
"229","PRODH2",1.09998116854308,0.0196994874822197,0.000131119181507211,"white","up"
"230","IGLV6-57",1.6224415331062,0.0196994874822197,0.000132409763160313,"white","up"
"231","NUDC",1.64834826735526,0.0196994874822197,0.000128691480913101,"white","up"
"232","NDRG2",1.7522422486072,0.0196994874822197,0.000131183863574025,"white","up"
"233","DPT",2.04818484002112,0.0196994874822197,0.0001320785359471,"white","up"
"234","KRT19",1.2229278751606,0.0203194766951669,0.000137461003484662,"white","up"
"235","THBS1",1.06426094660227,0.0211305226073889,0.000146618738941617,"white","up"
"236","C8A",1.43758312670416,0.0211305226073889,0.00014662483058725,"white","up"
"237","SRGN",1.46041765096196,0.0211305226073889,0.00014590685088367,"white","up"
"238","IGLC6",2.15886844551196,0.0211751213712678,0.0001473949107893,"white","up"
"239","IGKV1-5",2.45549848456797,0.022358504594237,0.000158063908316519,"white","up"
"240","DHRS4-AS1",1.00076449610924,0.0229390341299062,0.000163165930576858,"white","up"
"241","IGLV2-11",2.36718555421326,0.0232567433415351,0.000166037190858281,"white","up"
"242","IDH1",1.04295177816433,0.0233877981154149,0.000167884220353409,"white","up"
"243","IGLV2-14",2.26309105377379,0.024051403971494,0.000177356346174551,"white","up"
"244","IGLV1-44",2.62470800377235,0.024051403971494,0.000176879066465352,"white","up"
"245","IGLV2-23",2.58293740746335,0.0244458405215118,0.000183455472459793,"white","up"
"246","RNA5-8S5",2.1221687371428,0.0245344382146331,0.00018483382140877,"white","up"
"247","JCHAIN",2.99612664423845,0.0247521938180292,0.000189523453927309,"white","up"
"248","SLC2A3",1.26369097374839,0.025897668515738,0.000201674178383238,"white","up"
"249","IGKV3-11",2.29047322810449,0.0274348363701763,0.000218418822576449,"white","up"
"250","IGKV3-11",2.2907884634772,0.0274348363701763,0.000218231527737478,"white","up"
"251","SLC6A1",2.20512334164232,0.0276225258344375,0.000220513942861711,"white","up"
"252","NAT2",1.84424907616693,0.0277378768512544,0.000222641533066059,"white","up"
"253","SLC25A47",1.56142602314116,0.028275981976303,0.000227575770713306,"white","up"
"254","VKORC1",1.13319360289911,0.0282844688699817,0.000228259330696146,"white","up"
"255","IGKV1D-12",1.45802292869335,0.0313133772641699,0.000264963537713436,"white","up"
"256","IGKV1D-39",2.44777800852377,0.0321957145491685,0.000275931252335604,"white","up"
"257","RGN",1.11309703621382,0.0344933464271138,0.000305377012003727,"white","up"
"258","IGLV2-33",1.12970999182907,0.0348917050715492,0.000311939675985529,"white","up"
"259","IGHV3-30",1.61174938860941,0.0361594134724281,0.000326419485579432,"white","up"
"260","IGKV2-24",1.06286263738344,0.0367474701203831,0.000334925388941976,"white","up"
"261","SSB",1.28247334714441,0.0368370483193799,0.000337136982770603,"white","up"
"262","IGKV1D-8",1.35826228980474,0.0368370483193799,0.000337344412739471,"white","up"
"263","IGLV2-8",1.86434732949499,0.0374297873676735,0.000345215127553589,"white","up"
"264","IGHV3-33",1.31517227515928,0.0378340233478375,0.000352627803572814,"white","up"
"265","GPD1",1.59154146558219,0.0382084316267137,0.000359045559530591,"white","up"
"266","KLF10",1.45101212278855,0.0390252541182767,0.000368419043925261,"white","up"
"267","FAH",1.02325342832098,0.0398987091523093,0.000379268596092386,"white","up"
"268","IGHG3",1.26610109735483,0.0418595075774972,0.000407923505497232,"white","up"
"269","PGLYRP2",1.33288302896257,0.0426193568075283,0.000416255355576878,"white","up"
"270","DUSP6",1.66898221140397,0.0426306138544885,0.000417292617996168,"white","up"
"271","IGKV2-30",1.30564442426729,0.0440563274277379,0.0004379566178212,"white","up"
"272","IGLV3-19",2.12695709093625,0.0441148886593136,0.00043949836870194,"white","up"
"273","CXCR4",1.60043068747975,0.0441283396675764,0.000441552167560366,"white","up"
"274","RPL18",1.12004406355538,0.0443799639843639,0.00045274472286394,"white","up"
"275","IGKV1-39",2.09728704753268,0.0443799639843639,0.000452758268264741,"white","up"
"276","IGLV2-18",1.08078627462586,0.0452270253268909,0.000465160885785409,"white","up"
"277","IGLV3-21",2.46125427789176,0.0452270253268909,0.000466099056498304,"white","up"
"278","MAT1A",1.61789752447661,0.0472210131396678,0.00050907553483559,"white","up"
